num_voters,title,url,avg_rating,rank,geek_rating,release_date
730.0,Guatemala Café,/boardgame/23053/guatemala-cafe,6.26,3188,5.793,2007
954.0,Gin Rummy,/boardgame/25574/gin-rummy,6.18,3189,5.793,1909
299.0,Kogge,/boardgame/8138/kogge,6.76,3290,5.778,2003
718.0,Knit Wit,/boardgame/191982/knit-wit,6.22,3291,5.778,2016
312.0,Casa Grande,/boardgame/103877/casa-grande,6.47,3879,5.714,2011
241.0,Looterz,/boardgame/199780/looterz,6.88,3880,5.714,2016
118.0,No Question of Surrender,/boardgame/36297/no-question-surrender,7.4,4384,5.674,2012
121.0,Recicle: Tempos de Crise,/boardgame/66665/recicle-tempos-de-crise,7.44,4385,5.674,2010
350.0,Drakon (second edition),/boardgame/61269/drakon-second-edition,6.19,4666,5.657,2002
896.0,Clash of the Gladiators,/boardgame/3242/clash-gladiators,5.87,4667,5.657,2002
223.0,Gunrunners,/boardgame/119899/gunrunners,6.46,4765,5.652,2013
306.0,Hacker: Deluxe Edition,/boardgame/10707/hacker-deluxe-edition,6.34,4766,5.652,2001
240.0,Hide the Kids!,/boardgame/40941/hide-kids,6.47,4470,5.669,2009
106.0,Heights of Courage,/boardgame/84834/heights-courage,7.54,4471,5.669,2013
247.0,Space Station,/boardgame/108377/space-station,6.65,4174,5.689,2011
215.0,Wat'n dat!?,/boardgame/1072/watn-dat,6.72,4175,5.689,1996
488.0,Winter Tales,/boardgame/122599/winter-tales,6.04,4963,5.642,2012
115.0,Stinker,/boardgame/145609/stinker,7.09,4964,5.642,2015
126.0,La Bataille de Preussisch-Eylau,/boardgame/12899/la-bataille-de-preussisch-eylau,7.64,4077,5.696,1978
326.0,Los Banditos,/boardgame/38387/los-banditos,6.36,4078,5.696,2008
250.0,Gruff,/boardgame/173804/gruff,6.74,4272,5.681,2015
217.0,Rory's Story Cubes: Clues,/boardgame/142556/rorys-story-cubes-clues,6.69,4273,5.681,2013
276.0,Ka-Boom,/boardgame/136245/ka-boom,6.32,4582,5.663,2013
151.0,Voodoo Prince,/boardgame/234248/voodoo-prince,6.83,4583,5.663,2017
588.0,Jericho,/boardgame/21709/jericho,6.09,3988,5.705,2006
171.0,The Thing,/boardgame/75828/thing,7.07,3989,5.704,2010
183.0,The Next War,/boardgame/8719/next-war,7.42,3586,5.744,1978
186.0,Deduce or Die,/boardgame/19765/deduce-or-die,7.2,3587,5.744,2003
178.0,JamSumo,/boardgame/165595/jamsumo,7.46,3388,5.768,2014
413.0,Loop Inc.,/boardgame/163027/loop-inc,6.5,3389,5.768,2015
380.0,Dragoon,/boardgame/172540/dragoon,7.32,2992,5.823,2016
944.0,Vineta,/boardgame/27532/vineta,6.23,2993,5.823,2008
902.0,Ninja Versus Ninja,/boardgame/13511/ninja-versus-ninja,6.05,3686,5.733,2008
492.0,Super Scrabble,/boardgame/11182/super-scrabble,6.37,3687,5.733,2004
285.0,Battles of Napoleon: The Eagle and the Lion,/boardgame/22420/battles-napoleon-eagle-and-lion,7.37,2896,5.837,2010
356.0,Crimson Skies,/boardgame/3855/crimson-skies,7.05,2897,5.837,1998
655.0,Air Force,/boardgame/3608/air-force,6.39,3190,5.793,1976
174.0,Napoleon against Europe,/boardgame/132148/napoleon-against-europe,7.78,3191,5.793,2013
783.0,Speed Cups,/boardgame/146149/speed-cups,6.21,3292,5.778,2013
345.0,Chosŏn,/boardgame/161943/chosn,6.71,3293,5.778,2014
128.0,Arkham Investigator,/boardgame/138963/arkham-investigator,7.65,3881,5.714,2013
108.0,None But Heroes,/boardgame/62922/none-heroes,8.21,3882,5.714,2011
277.0,Scrutineyes,/boardgame/1835/scrutineyes,6.47,4386,5.674,1992
203.0,100 Swords: The Red Dragon's Dungeon,/boardgame/178153/100-swords-red-dragons-dungeon,6.8,4387,5.674,2016
222.0,Streams,/boardgame/103814/streams,6.44,4668,5.657,2011
